INT Temp [°C];AUX Temp [°C];COMP Temp [°C];RELAY Temp [°C];INT Filter Temp [°C];AUX Filter Temp [°C];COMP Filter Temp [°C];RELAY Filter Temp [°C];Relay Control;Battery Charger;Power Dissipation [W];Relay Resistance [Ohm]
23.1186;21.6296;22.8651;21.8307;23.1820;21.4741;22.9010;21.7869;0.0000;0.0000;0.0000;0.0146
23.3470;21.5794;22.7892;21.8055;23.1833;21.4742;22.9018;21.7843;0.0000;0.0000;0.0000;0.0146
23.1947;21.5041;22.9411;21.7050;23.1834;21.4744;22.9026;21.7841;0.0000;0.0000;0.0000;0.0146
23.1947;21.5794;22.9158;21.7301;23.1818;21.4744;22.9025;21.7835;0.0000;0.0000;0.0000;0.0146
23.1693;21.5543;22.9411;21.8055;23.1821;21.4744;22.9025;21.7843;0.0000;0.0000;0.0000;0.0146
23.3216;21.4790;22.8398;21.9061;23.1829;21.4744;22.9018;21.7845;0.0000;0.0000;0.0000;0.0146
23.1947;21.4037;22.9918;21.7552;23.1824;21.4743;22.9022;21.7849;0.0000;0.0000;0.0000;0.0146
23.2201;21.4037;22.8905;21.8307;23.1852;21.4743;22.9021;21.7855;0.0000;0.0000;0.0000;0.0146
23.2201;21.4790;22.9918;21.7804;23.1855;21.4743;22.9022;21.7865;0.0000;0.0000;0.0000;0.0146
23.1439;21.5292;22.9665;21.7804;23.1848;21.4742;22.9022;21.7865;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;23.0171;21.8055;23.1848;21.4743;22.9029;21.7870;0.0000;0.0000;0.0000;0.0146
23.1439;21.4288;22.8905;21.8307;23.1848;21.4742;22.9033;21.7872;0.0000;0.0000;0.0000;0.0146
23.1439;21.5041;22.9411;21.8055;23.1840;21.4742;22.9035;21.7888;0.0000;0.0000;0.0000;0.0146
23.1693;21.5292;22.9411;21.7804;23.1829;21.4742;22.9034;21.7883;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.8905;21.8810;23.1828;21.4741;22.9021;21.7881;0.0000;0.0000;0.0000;0.0146
23.2708;21.4539;22.8651;21.7301;23.1833;21.4741;22.9021;21.7888;0.0000;0.0000;0.0000;0.0146
23.1693;21.5292;22.9918;21.7301;23.1837;21.4742;22.9023;21.7883;0.0000;0.0000;0.0000;0.0146
23.0678;21.4790;22.8905;21.7050;23.1833;21.4743;22.9019;21.7881;0.0000;0.0000;0.0000;0.0146
23.2708;21.4288;22.9158;21.7552;23.1850;21.4743;22.9030;21.7877;0.0000;0.0000;0.0000;0.0146
23.1186;21.4288;22.9411;21.7552;23.1846;21.4743;22.9038;21.7880;0.0000;0.0000;0.0000;0.0146
23.1693;21.4539;22.8651;21.8558;23.1839;21.4743;22.9039;21.7878;0.0000;0.0000;0.0000;0.0146
23.1186;21.4790;22.8398;21.8307;23.1832;21.4743;22.9032;21.7876;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.8651;21.7050;23.1817;21.4743;22.9022;21.7865;0.0000;0.0000;0.0000;0.0146
23.1693;21.5041;22.9158;21.7552;23.1828;21.4743;22.9020;21.7873;0.0000;0.0000;0.0000;0.0146
23.1439;21.4037;23.0425;21.8307;23.1812;21.4744;22.9020;21.7864;0.0000;0.0000;0.0000;0.0146
23.0678;21.4037;22.8905;21.8307;23.1810;21.4745;22.9014;21.7867;0.0000;0.0000;0.0000;0.0146
